Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Taoglas_HP5354.A_GNSS,1,HP5354.A,C30042276
C1,C_Murata_xxx15_0402_1005Metric_1.0x0.5mm,1,GJM1555C1H470FB01D,C882562
C2,0603,1,0.1u,C14663
C3,0603,1,1u,C15849
C4,0805,1,10u,C440198
"D1, D2, D3, D4",D_Littelfuse_AXGD10402KR_0402_1005Metric_1.02x0.51mm,4,AXGD10402KR,C434715
J1,SMA_Molex_732512440_Female_Embed,1,Conn_Coaxial,C588468
J2,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,Conn_01x02_MountingPin,C160402
L1,L_Murata_LQW18ANxxxx80x_0603_1608Metric_1.65x0.99mm,1,LQW18ANR12G80D,C307612
R1,0402,1,FCHP0402E50R0BGT1,C4267592
R2,R_Vishay_FC0603xxxxxxTxx_0603_1608Metric_1.626x0.813mm,1,FC0603E1000BTBST1,C2076508
R3,0402,1,37,C17168
"R4, R5",0402,2,150,
U1,RF_HybridCoupler_TTM_X3C14P1-03S,1,X3C14P1-03S-1,C36369905
U2,Xinger_0805_2012Metric-6_Pad0.33x0.41mm,1,PD0922J5050S2HF,C5136968
